number_truck 1
number_drone 1
droneLimitationFightTime(s) 3600
Customers 10 
Coordinate X		 Coordinate Y 		Demand		OnlyServicedBytruck		 ServiceTimeByTruck(s)		 ServiceTimeByDrone(s)
1850.6038802210844	-3174.2316052593014	12.686391682543116  1	60 	30
1366.8330492980378	1891.8244271404876	1.2252598727718094  0	60 	30
1024.4994244871568	3181.767905960865	1.3343173292643375  0	60 	30
2161.4362995961997	-1296.0163383152176	2.0775654087735522  0	60 	30
-2302.06240291603	-219.2569251624473	1.9356666469914543  0	60 	30
1908.6818076498967	3904.084436796973	1.0574154763391466  0	60 	30
-3935.9849274176345	-2628.4909050433134	2.4918821033003002  0	60 	30
-3953.3179329281925	-616.1768147268547	2.0205173381984967  0	60 	30
3759.575621124705	-1293.3279063196167	2.24877945049969    0	60 	30
4000.7568038360314	-2289.3727860665954	54.90379083471857   1	60 	30
