number_truck 1
number_drone 1
droneLimitationFightTime(s) 3600
Customers 6 
Coordinate X		 Coordinate Y 		Demand		OnlyServicedBytruck		 ServiceTimeByTruck(s)		 ServiceTimeByDrone(s)
7474.4989850661705	11809.84502549393	1.496291180363214   0	60 	30
-2748.8704605975136	13281.446445594433	1.5362688893556733  1	60 	30
13744.086811286705	16080.169735498468	0.17051172587583568 0	60 	30
-13446.832031712911	-7795.622633323066	1.6995011373345323  1	60 	30
-5508.386773717711	-10211.636015407159	47.564440098725086  1	60 	30
-11858.613740873523	-14957.122248241281	1.6834715836741674  1	60 	30
11061.777296028378	3058.955653720227	2.165644363382107   0	60 	30
13830.509030192505	-3954.279122942719	1.839456105852257  1	60 	30
2442.4511484519144	12671.953467765969	1.2543124791491929  0	60 	30
-1969.8845402752142	9344.864288736406	2.1097962295245227  0	60 	30
